query,category,latency,min,max,lower_ci,upper_ci
2D,Neo4j,1145.15344,1120.349,1657.642,1123.1750250000002,1177.6263499999998
2D,PostgreSQL Baseline,121.58003000000001,116.242,141.93200000000002,116.88435,132.99765
2D,PostgreSQL Optimized,3.31267,3.002,5.930000000000001,3.0089,3.9100499999999996
3D,Neo4j,494.23254000000003,472.36499999999995,531.2090000000001,474.281875,526.250075
3D,PostgreSQL Baseline,127.54491,122.624,159.895,122.85965,139.06965
3D,PostgreSQL Optimized,2.47619,2.322,4.1419999999999995,2.33,2.8361249999999996
3D + 2,Neo4j,134.09821,111.785,1548.337,112.293725,146.737125
3D + 2,PostgreSQL Baseline,628.2932,620.736,718.6,621.078275,647.3775999999998
3D + 2,PostgreSQL Optimized,0.37659,0.259,2.065,0.27,1.4069249999999998
